site_name,api_number,operator,county,state,latitude,longitude,job_codes,well_type,status,source
Blue Racer 701D,42389367320000,Apache Corporation,Reeves,Texas,31.168258,-103.79061,,,,FracFocus
Cedar State Unit 101AR,42389361750000,Apache Corporation,Reeves,Texas,31.292441,-104.041854,,,,FracFocus
Bivins East 1011H,42375318760000,Apache Corporation,Potter,Texas,35.516246,-102.109476,,,,FracFocus
Grant 409AH,42389367330000,Apache Corporation,Reeves,Texas,31.665992,-103.852244,,,,FracFocus
Grant 410BH,42389367340000,Apache Corporation,Reeves,Texas,31.665992,-103.85234,,,,FracFocus
Miller 37 West B 2HM,42461407420000,Apache Corporation,Upton,Texas,31.569405,-101.923972,,,,FracFocus
Miller 37 West C 3HM,42461407430000,Apache Corporation,Upton,Texas,31.569383,-101.924065,,,,FracFocus
Miller 37 West A 1HM,42461407410000,Apache Corporation,Upton,Texas,31.569426,-101.923879,,,,FracFocus
Adair San Andres Unit 1203R,42165346920000,Apache Corporation,Gaines,Texas,32.953951,-102.283417,,,,FracFocus
Grant 406BH,42389365290000,Apache Corporation,Reeves,Texas,31.665989,-103.846867,,,,FracFocus
Grant 404BR,42389366740000,Apache Corporation,Reeves,Texas,31.665988,-103.846674,,,,FracFocus
Cedar State Unit 102BH,42389363750000,Apache Corporation,Reeves,Texas,31.292441,-104.044863,,,,FracFocus
Cedar State Unit 103AH,42389363760000,Apache Corporation,Reeves,Texas,31.292441,-104.044961,,,,FracFocus
Cedar State Unit 104BH,42389363790000,Apache Corporation,Reeves,Texas,31.29244,-104.045058,,,,FracFocus
Adair San Andres Unit 2302,42165002190000,Apache Corporation,Gaines,Texas,32.939548,-102.296425,,,,FracFocus
Grant 408BH,42389365310000,Apache Corporation,Reeves,Texas,31.66599,-103.849576,,,,FracFocus
CC 4045 East F 8HM,42461406660000,Apache Corporation,Upton,Texas,31.55874,-101.966337,,,,FracFocus
Grant 407AH,42389365300000,Apache Corporation,Reeves,Texas,31.66599,-103.849948,,,,FracFocus
Lee 406BH,42389366590000,Apache Corporation,Reeves,Texas,31.66434,-103.868026,,,,FracFocus
Lee 405AH,42389366580000,Apache Corporation,Reeves,Texas,31.664341,-103.867929,,,,FracFocus
Palm Unit 101AH,42389361770000,Apache Corporation,Reeves,Texas,31.276366,-103.82848,,,,FracFocus
Palm Unit 102BH,42389366600000,Apache Corporation,Reeves,Texas,31.276366,-103.828383,,,,FracFocus
Palm Unit 103AH,42389367310000,Apache Corporation,Reeves,Texas,31.276366,-103.828288,,,,FracFocus
Adair San Andres Unit 1204,42165002980000,Apache Corporation,Gaines,Texas,32.957606,-102.287836,,,,FracFocus
Lee 403AH,42389366560000,Apache Corporation,Reeves,Texas,31.664332,-103.869858,,,,FracFocus
Lee 404BH,42389366570000,Apache Corporation,Reeves,Texas,31.664332,-103.869761,,,,FracFocus
CC 4045 East G 10HM,42461407030000,Apache Corporation,Upton,Texas,31.559232,-101.963283,,,,FracFocus
CC 4045 East H 12HM,42461407040000,Apache Corporation,Upton,Texas,31.559254,-101.963189,,,,FracFocus
Adair San Andres Unit 2309,42165002250000,Apache Corporation,Gaines,Texas,32.936092,-102.300718,,,,FracFocus
Grant 405AH,42389365230000,Apache Corporation,Reeves,Texas,31.665988,-103.84677,,,,FracFocus
Ash Unit 102BH,42389366690000,Apache Corporation,Reeves,Texas,31.276465,-103.812587,,,,FracFocus
